,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,198,yes,198,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,67,yes,67,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,50,yes,50,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,36,yes,36,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,34,yes,34,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,31,yes,31,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-15,yes,-15,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-9,yes,-9,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,56,yes,56,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,3,yes,3,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,50,yes,50,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,59,yes,59,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,9,yes,9,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,6,yes,6,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,14,yes,14,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-14,yes,-14,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,2,yes,2,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-6,yes,-6,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-12,yes,-12,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,1,yes,1,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-4,yes,-4,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,-2,yes,-2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr13,Carey2010,2,yes,2,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr13,Carey2010,25,yes,25,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr13,Carey2010,-1,yes,-1,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr13,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr13,Carey2010,24,yes,24,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,6,yes,6,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,4,yes,4,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,24,yes,24,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-1,yes,-1,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr15,Carey2010,17,yes,17,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr15,Carey2010,16,yes,16,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,7,yes,7,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,6,yes,6,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,18,yes,18,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-5,yes,-5,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-3,yes,-3,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-5,yes,-5,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-8,yes,-8,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-5,yes,-5,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-3,yes,-3,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,6,yes,6,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,6,yes,6,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,17,yes,17,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,16,yes,16,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,28,yes,28,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,4,yes,4,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,78,yes,78,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,217,yes,217,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,248,yes,248,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,141,yes,141,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-6,yes,-6,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,181,yes,181,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,152,yes,152,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,73,yes,73,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,82,yes,82,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,6,yes,6,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-4,yes,-4,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,130,yes,130,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,185,yes,185,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,40,yes,40,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,31,yes,31,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,99,yes,99,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,233,yes,233,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,36,yes,36,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,96,yes,96,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,150,yes,150,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,33,yes,33,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-1,yes,-1,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,243,yes,243,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,174,yes,174,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,216,yes,216,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,20,yes,20,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,35,yes,35,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,21,yes,21,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,10,yes,10,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-5,yes,-5,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-6,yes,-6,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-1,yes,-1,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,28,yes,28,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,17,yes,17,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-4,yes,-4,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,8,yes,8,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,36,yes,36,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,139,yes,139,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,18,yes,18,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,93,yes,93,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,42,yes,42,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,49,yes,49,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,51,yes,51,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,3,yes,3,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-6,yes,-6,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-1,yes,-1,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,1,yes,1,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr15,Carey2010,-2,yes,-2,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr15,Carey2010,20,yes,20,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr15,Carey2010,0,yes,0,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr15,Carey2010,2,yes,2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr15,Carey2010,17,yes,17,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,3,yes,3,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,3,yes,3,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,6,yes,6,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,8,yes,8,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,9,yes,9,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,4,yes,4,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,23,yes,23,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,17,yes,17,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,8,yes,8,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,17,yes,17,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,4,yes,4,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,10,yes,10,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,38,yes,38,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,63,yes,63,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,25,yes,25,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,44,yes,44,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,14,yes,14,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,39,yes,39,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,12,yes,12,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,27,yes,27,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,4,yes,4,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,8,yes,8,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,4,yes,4,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,31,yes,31,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,7,yes,7,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,15,yes,15,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,32,yes,32,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,34,yes,34,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,14,yes,14,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr16,Carey2010,-1,yes,-1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,5,yes,5,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,25,yes,25,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,25,yes,25,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,15,yes,15,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,10,yes,10,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,14,yes,14,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,20,yes,20,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,18,yes,18,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,34,yes,34,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,9,yes,9,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,1,yes,1,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,7,yes,7,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,28,yes,28,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,23,yes,23,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,29,yes,29,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,6,yes,6,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,4,yes,4,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,2,yes,2,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr16,Carey2010,0,yes,0,
